Date + Time,Power [kW],Holiday,Temperature [°C],Relative Humidity [%],Windspeed [m/s],Wind Gusts [m/s],Air Pressure [mbar],Solar Radiation [W/m²],Rain [mm/h],Accumulated rain on day [mm]
2018-06-20 08:00:00,215.5553491,0,22.486666666666665,47.95333333333334,0.0,0.0,1017.0,365.27500000000003,0.0,0.0
2018-06-20 09:00:00,287.5606188,0,23.276666666666667,45.5025,0.0,0.0,1017.0,552.7416666666667,0.0,0.0
2018-06-20 10:00:00,317.6047966,0,25.124166666666667,40.8675,0.0,0.0,1016.9166666666666,729.1916666666666,0.0,0.0
2018-06-20 11:00:00,330.3275157,0,25.650833333333335,41.37416666666667,0.0,0.0,1016.8333333333334,856.1666666666666,0.0,0.0
2018-06-20 12:00:00,303.8755538,0,26.76,38.714999999999996,0.0,0.0,1017.0,945.6666666666666,0.0,0.0
2018-06-20 13:00:00,319.6015186,0,28.002499999999998,33.968333333333334,0.0,0.0,1017.0,777.875,0.0,0.0
2018-06-20 14:00:00,349.3315371,0,27.474166666666665,32.501666666666665,0.0,0.0,1016.6666666666666,324.375,0.0,0.0
2018-06-20 15:00:00,361.7112135,0,26.485,36.285000000000004,0.0,0.0,1016.9166666666666,147.56,0.0,0.0
2018-06-20 16:00:00,339.9699667,0,24.969166666666666,41.83583333333333,0.0,0.0,1016.0833333333334,96.25333333333333,0.05000000000000001,0.05000000000000001
2018-06-20 17:00:00,286.8998587,0,23.9275,47.060833333333335,0.0,0.0,1016.1666666666666,188.5,0.05000000000000001,0.10000000000000002
2018-06-20 18:00:00,225.8225606,0,25.49416666666667,40.46083333333333,0.0,0.0,1015.75,290.2416666666666,0.0,0.10000000000000002
2018-06-20 19:00:00,188.5453934,0,22.861666666666665,49.74,0.0,0.0,1016.4166666666666,97.60666666666667,0.0,0.10000000000000002
2018-06-20 20:00:00,151.5558044,0,20.846666666666668,58.02916666666667,0.0,0.0,1017.0,12.338916666666668,0.0,0.10000000000000002
2018-06-20 21:00:00,141.3553596,0,21.0475,57.39166666666667,0.0,0.0,1016.75,1.9004166666666666,0.0,0.10000000000000002
2018-06-20 22:00:00,130.9793121,0,21.4475,56.8725,0.0,0.0,1016.9166666666666,2.218666666666667,0.0,0.10000000000000002
2018-06-20 23:00:00,131.5069574,0,20.255,63.630833333333335,0.0,0.0,1017.3333333333334,3.907,0.0,0.10000000000000002
2018-06-21 00:00:00,131.800396,0,20.809166666666666,60.13,0.0,0.0,1017.0833333333334,3.418416666666667,0.0,0.0
2018-06-21 01:00:00,127.6116751,0,20.160833333333333,60.46,0.0,0.0,1017.0,3.1878333333333333,0.0,0.0
2018-06-21 02:00:00,122.9583082,0,20.6675,57.19083333333333,0.0,0.0,1016.75,2.4059166666666667,0.0,0.0
2018-06-21 03:00:00,121.4136742,0,19.854166666666668,62.89666666666667,0.0,0.0,1017.5,4.37275,0.19999999999999998,0.19999999999999998
2018-06-21 04:00:00,118.0646649,0,19.3925,68.7725,0.0,0.0,1016.25,2.8234166666666667,1.0166666666666666,1.1916666666666667
2018-06-21 05:00:00,123.6320449,0,20.49833333333333,59.803333333333335,0.0,0.0,1015.8333333333334,2.93225,0.24166666666666667,1.4083333333333332
2018-06-21 06:00:00,127.6336516,0,18.9575,71.35000000000001,0.0,0.0,1017.25,5.132833333333333,0.4916666666666667,1.8916666666666666
2018-06-21 07:00:00,165.4418129,0,19.051666666666666,69.34916666666668,0.0,0.0,1018.0833333333334,6.969166666666666,0.9166666666666666,2.7916666666666665
2018-06-21 08:00:00,233.1715022,0,18.52,72.325,0.0,0.0,1017.4166666666666,28.888333333333332,1.0416666666666667,3.8249999999999997
2018-06-21 09:00:00,278.9768072,0,18.86916666666667,73.88333333333334,0.0,0.0,1018.25,208.48416666666665,0.6583333333333333,4.4750000000000005
2018-06-21 10:00:00,297.4856248,0,18.491666666666667,74.65833333333333,0.0,0.0,1018.5833333333334,66.74083333333333,0.27499999999999997,4.733333333333333
2018-06-21 11:00:00,319.7903072,0,19.786666666666665,69.11083333333333,0.0,0.0,1017.1666666666666,388.4916666666666,0.075,4.8
2018-06-21 12:00:00,307.7658129,0,22.48166666666667,54.14666666666667,0.0,0.0,1017.1666666666666,921.8416666666667,0.0,4.8
2018-06-21 13:00:00,327.9580304,0,24.6375,45.8775,0.0,0.0,1017.4166666666666,963.85,0.0,4.8
2018-06-21 14:00:00,374.3332593,0,26.506666666666664,43.245000000000005,0.0,0.0,1017.0,936.8333333333334,0.0,4.8
2018-06-21 15:00:00,382.3915186,0,26.41416666666667,40.7975,0.0,0.0,1016.8333333333334,884.3166666666666,0.0,4.8
2018-06-21 16:00:00,364.9388288,0,25.189999999999998,40.06,0.0,0.0,1017.0,818.1166666666667,0.0,4.8
2018-06-21 17:00:00,317.6717726,0,25.388333333333335,37.1875,0.0,0.0,1017.0,397.2083333333333,0.0,4.8
2018-06-21 18:00:00,244.5172366,0,24.578333333333333,40.73166666666666,0.0,0.0,1017.0,257.7083333333333,0.0,4.8
2018-06-21 19:00:00,209.2472564,0,23.161666666666665,46.12833333333333,0.0,0.0,1017.0833333333334,52.208333333333336,0.0,4.8
2018-06-21 20:00:00,173.7332324,0,21.825,54.159166666666664,0.0,0.0,1017.8333333333334,17.5625,0.0,4.8
2018-06-21 21:00:00,164.0294565,0,21.852500000000003,53.274166666666666,0.0,0.0,1017.0,1.9973333333333334,0.0,4.8
2018-06-21 22:00:00,159.2048822,0,21.844166666666666,49.45333333333334,0.0,0.0,1017.0,1.2246666666666666,0.0,4.8
2018-06-21 23:00:00,153.0615086,0,20.500833333333333,65.33583333333333,0.0,0.0,1017.5,1.8636666666666668,0.0,4.8
2018-06-22 00:00:00,149.9747522,0,20.460833333333333,64.12083333333334,0.0,0.0,1017.0,1.8521666666666665,0.0,0.0
2018-06-22 01:00:00,146.8482288,0,20.662499999999998,58.48500000000001,0.0,0.0,1017.0,1.6284166666666666,0.0,0.0
2018-06-22 02:00:00,132.1074391,0,19.7425,70.17666666666666,0.0,0.0,1017.0,1.8776666666666666,0.0,0.0
2018-06-22 03:00:00,128.3764573,0,19.435833333333335,72.46666666666667,0.0,0.0,1017.0,1.6886666666666665,0.0,0.0
2018-06-22 04:00:00,127.4061425,0,19.63,70.16916666666667,0.0,0.0,1017.0,1.5246666666666666,0.0,0.0
2018-06-22 05:00:00,129.1121468,0,19.74083333333333,68.52749999999999,0.0,0.0,1017.0,1.9075833333333332,0.0,0.0
