Date + Time,Power [kW],Holiday,Temperature [°C],Relative Humidity [%],Windspeed [m/s],Wind Gusts [m/s],Air Pressure [mbar],Solar Radiation [W/m²],Rain [mm/h],Accumulated rain on day [mm]
2017-09-22 16:00:00,249.8108315,0,20.549166666666668,47.48666666666667,6.611083333333333,8.071916666666667,1017.5,379.0,0.0,0.0
2017-09-22 17:00:00,240.5464315,0,18.966666666666665,55.0725,6.765999999999999,8.282083333333334,1017.75,192.8166666666667,0.0,0.0
2017-09-22 18:00:00,220.1398425,0,17.554166666666667,59.850833333333334,5.832166666666667,6.876333333333334,1017.9166666666666,20.9125,0.0,0.0
2017-09-22 19:00:00,113.019999,0,16.753333333333334,61.23416666666666,5.199416666666667,6.12125,1018.0,1.1856666666666666,0.0,0.0
2017-09-22 20:00:00,80.631307,0,16.17833333333333,61.369166666666665,5.000083333333333,6.10125,1018.75,1.3355833333333333,0.0,0.0
2017-09-22 21:00:00,53.7507815,0,16.1125,60.219166666666666,5.76725,6.855250000000001,1019.0,1.1698333333333333,0.0,0.0
2017-09-22 22:00:00,45.2008765,0,16.040833333333335,60.45666666666667,4.575666666666667,5.597416666666667,1019.0,0.9045000000000001,0.0,0.0
2017-09-22 23:00:00,43.644938,0,15.865,61.06666666666666,3.42075,4.109166666666667,1018.75,1.1813333333333333,0.0,0.0
2017-09-23 00:00:00,43.733649,0,15.1275,64.01416666666667,3.4905833333333334,4.109166666666667,1018.5833333333334,1.3013333333333332,0.0,0.0
2017-09-23 01:00:00,42.903349,0,14.540833333333333,69.32833333333333,2.984,3.669,1018.0,1.4259166666666667,0.0,0.0
2017-09-23 02:00:00,42.905534,0,14.389166666666668,74.575,1.2299166666666668,1.4465000000000001,1018.0,1.7399166666666668,0.0,0.0
2017-09-23 03:00:00,42.761324,0,14.181666666666667,77.27499999999999,2.142,2.4949166666666667,1018.0,2.1969166666666666,0.0,0.0
2017-09-23 04:00:00,41.8342285,0,14.014166666666666,77.93333333333334,2.60325,3.019083333333333,1018.0,1.5114999999999998,0.0,0.0
2017-09-23 05:00:00,41.3819335,0,14.174999999999999,76.80833333333334,1.1443333333333332,1.6981666666666666,1018.25,1.25525,0.0,0.0
2017-09-23 06:00:00,41.591038,0,14.076666666666666,76.95833333333333,1.2019166666666667,1.7191666666666665,1019.0,21.941333333333333,0.0,0.0
2017-09-23 07:00:00,45.776624,0,15.8525,71.19166666666666,0.8055,1.1739166666666667,1019.1666666666666,182.54999999999998,0.0,0.0
2017-09-23 08:00:00,51.3267425,0,16.411666666666665,66.17083333333333,1.5775833333333331,2.20125,1020.0,344.05,0.0,0.0
2017-09-23 09:00:00,60.119838,0,18.107499999999998,61.262499999999996,1.2299166666666668,1.8029166666666665,1020.0,491.9166666666667,0.0,0.0
2017-09-23 10:00:00,59.8718405,0,19.770833333333332,58.067499999999995,1.2402499999999999,1.6981666666666666,1020.0,628.9833333333333,0.0,0.0
2017-09-23 11:00:00,59.846276,0,20.145,55.165,1.8012499999999998,2.59975,1020.0,707.85,0.0,0.0
2017-09-23 12:00:00,60.717654,0,22.058333333333334,45.17583333333334,1.0569166666666667,1.7819166666666666,1020.0,789.5,0.0,0.0
2017-09-23 13:00:00,63.7248695,0,23.093333333333334,38.469166666666666,2.6085833333333333,3.857583333333333,1019.5,751.475,0.0,0.0
2017-09-23 14:00:00,63.646865,0,22.949166666666667,39.595,5.269333333333333,6.667666666666666,1019.0,659.3166666666667,0.0,0.0
2017-09-23 15:00:00,64.7924605,0,22.385833333333334,41.1425,5.7441666666666675,6.83425,1019.1666666666666,534.2333333333333,0.0,0.0
2017-09-23 16:00:00,65.709942,0,21.367500000000003,43.20416666666667,3.5728333333333335,4.717083333333334,1019.0,360.06666666666666,0.0,0.0
2017-09-23 17:00:00,63.947084,0,20.4875,46.49,4.5841666666666665,5.534583333333333,1019.8333333333334,155.375,0.0,0.0
2017-09-23 18:00:00,57.9153915,0,19.8875,46.975833333333334,3.228666666666667,3.8785833333333333,1019.8333333333334,28.457083333333333,0.0,0.0
2017-09-23 19:00:00,55.688221,0,19.098333333333333,43.94416666666667,2.7272499999999997,3.3753333333333333,1020.0,0.11541666666666667,0.0,0.0
2017-09-23 20:00:00,57.168777,0,18.49,44.7725,0.6690833333333334,0.8805833333333334,1020.0,0.10833333333333334,0.0,0.0
2017-09-23 21:00:00,48.0994975,0,18.225833333333334,43.560833333333335,1.6300833333333333,2.012583333333333,1020.8333333333334,0.113,0.0,0.0
2017-09-23 22:00:00,46.273056,0,17.311666666666667,49.38166666666667,2.6119166666666667,3.061,1021.0,0.13841666666666666,0.0,0.0
2017-09-23 23:00:00,46.377062,0,16.927142857142858,50.723571428571425,2.331571428571429,2.6774999999999998,1020.9285714285714,0.1600714285714286,0.0,0.0
2017-09-24 00:00:00,44.952005,0,16.473333333333333,52.712500000000006,1.3715,1.6980833333333332,1020.9166666666666,0.31616666666666665,0.0,0.0
2017-09-24 01:00:00,42.711943,0,16.334166666666665,50.843333333333334,0.6638333333333334,0.8595833333333333,1021.0,0.23775000000000002,0.0,0.0
2017-09-24 02:00:00,42.4639455,0,16.0725,57.373333333333335,0.69525,0.7966666666666667,1020.5833333333334,0.9531666666666666,0.0,0.0
2017-09-24 03:00:00,42.8096125,0,15.207500000000001,56.3725,2.2449166666666667,2.5366666666666666,1021.0,0.983,0.0,0.0
2017-09-24 04:00:00,42.355351,0,15.013333333333334,52.96666666666667,0.7914166666666667,0.9854166666666666,1020.1666666666666,0.5790833333333333,0.0,0.0
2017-09-24 05:00:00,42.3568805,0,15.054166666666667,51.21333333333333,2.1454166666666667,2.9350833333333335,1020.75,0.43849999999999995,0.0,0.0
2017-09-24 06:00:00,42.1694075,0,15.250833333333333,51.26,1.9531666666666665,2.4320833333333334,1021.0,16.070833333333336,0.0,0.0
2017-09-24 07:00:00,46.6233115,0,16.125833333333333,49.63833333333333,1.2753333333333334,1.6979999999999997,1021.0833333333334,165.34166666666667,0.0,0.0
2017-09-24 08:00:00,46.768177,0,17.618333333333336,49.1225,1.1863333333333332,1.6351666666666667,1022.0,362.01666666666665,0.0,0.0
2017-09-24 09:00:00,46.987551,0,18.479166666666668,52.77,1.2509166666666667,1.8239166666666666,1022.0,540.8000000000001,0.0,0.0
2017-09-24 10:00:00,47.57182,0,19.94,39.11,0.9277500000000001,1.4044166666666664,1022.0,658.2833333333334,0.0,0.0
2017-09-24 11:00:00,47.962498,0,21.723333333333333,33.391666666666666,1.6860833333333334,2.3899166666666667,1022.0,746.9833333333332,0.0,0.0
2017-09-24 12:00:00,49.6320565,0,21.83666666666667,27.295,3.869666666666667,5.157416666666667,1022.0,807.5833333333334,0.0,0.0
2017-09-24 13:00:00,49.902341,0,23.200833333333335,23.345,2.556,3.605916666666667,1021.9166666666666,784.6666666666666,0.0,0.0
2017-09-24 14:00:00,50.7062025,0,23.7825,22.370833333333334,3.1045,4.465416666666667,1021.0,662.3166666666667,0.0,0.0
2017-09-24 15:00:00,51.0728455,0,23.019166666666667,23.705,3.09925,4.297083333333333,1021.0,534.875,0.0,0.0
2017-09-24 16:00:00,50.6546365,0,24.17,24.224999999999998,3.372,5.1155,1021.0,357.625,0.0,0.0
2017-09-24 17:00:00,52.106132,0,22.275000000000002,39.5525,4.621166666666666,5.681166666666667,1021.6666666666666,119.8975,0.0,0.0
2017-09-24 18:00:00,52.592513,0,20.254166666666666,53.20583333333334,4.540666666666667,5.513750000000001,1022.0,11.194833333333333,0.0,0.0
2017-09-24 19:00:00,53.712107,0,19.575833333333332,60.64000000000001,6.281,7.507000000000001,1022.4166666666666,0.8740833333333334,0.0,0.0
2017-09-24 20:00:00,52.9117415,0,19.015,72.90166666666667,4.732833333333333,6.098916666666667,1023.0,0.21916666666666665,0.0,0.0
2017-09-24 21:00:00,50.695059,0,18.464166666666667,77.14166666666667,1.5199166666666668,2.24325,1023.0,0.33916666666666667,0.0,0.0
2017-09-24 22:00:00,48.996003,0,18.496666666666666,76.89166666666667,1.4535,1.9285833333333333,1023.0,0.5329166666666666,0.0,0.0
2017-09-24 23:00:00,48.2563805,0,18.262307692307694,77.21538461538461,2.1205384615384615,2.728615384615385,1023.0,0.677076923076923,0.0,0.0
2017-09-25 00:00:00,48.1126075,0,17.599166666666665,75.33333333333333,2.34275,3.1028333333333333,1023.0,0.609,0.0,0.0
2017-09-25 01:00:00,48.059075,0,17.10083333333333,72.66666666666667,1.9095833333333332,2.5996666666666663,1023.0,0.7774166666666668,0.0,0.0
2017-09-25 02:00:00,47.933656,0,16.991666666666667,67.74666666666667,2.9525,3.6899166666666665,1022.9166666666666,0.47291666666666665,0.0,0.0
2017-09-25 03:00:00,48.291996,0,16.820833333333333,65.24583333333334,4.324083333333333,5.0735,1023.0,0.7706666666666666,0.0,0.0
2017-09-25 04:00:00,48.6422515,0,16.108333333333334,70.105,2.721916666666667,3.4173333333333336,1023.0,0.72675,0.0,0.0
2017-09-25 05:00:00,48.229942,0,16.135,69.605,2.388333333333333,3.2914166666666667,1023.0,0.41758333333333336,0.0,0.0
2017-09-25 06:00:00,55.9161165,0,15.840000000000002,71.75833333333334,3.246166666666667,4.172,1023.0,16.115333333333336,0.0,0.0
2017-09-25 07:00:00,74.4221925,0,16.2575,72.05,3.4612499999999997,4.4655,1023.6666666666666,156.41666666666666,0.0,0.0
2017-09-25 08:00:00,203.6208055,0,17.121666666666666,69.61666666666666,4.318833333333333,5.303916666666667,1024.1666666666667,349.10833333333335,0.0,0.0
2017-09-25 09:00:00,213.666343,0,18.236666666666668,65.36416666666666,3.2565833333333334,4.381583333333333,1025.0,523.7666666666667,0.0,0.0
2017-09-25 10:00:00,228.306717,0,18.959166666666665,61.36833333333333,4.412916666666667,5.450916666666667,1024.8333333333333,671.9083333333333,0.0,0.0
2017-09-25 11:00:00,245.8988075,0,20.058333333333334,53.195,4.607,5.891416666666667,1024.0,761.0833333333334,0.0,0.0
2017-09-25 12:00:00,242.3988745,0,21.469166666666666,43.55583333333333,3.6094166666666667,4.779916666666667,1023.5833333333334,792.0,0.0,0.0
2017-09-25 13:00:00,252.1177545,0,23.060833333333335,40.291666666666664,2.1908333333333334,3.186583333333333,1022.9166666666666,757.9166666666666,0.0,0.0
2017-09-25 14:00:00,257.6418715,0,23.76,32.854166666666664,4.205166666666666,5.576833333333333,1022.0,673.525,0.0,0.0
2017-09-25 15:00:00,257.457239,0,23.59583333333333,32.65833333333333,3.964166666666667,5.136500000000001,1022.0,536.6999999999999,0.0,0.0
2017-09-25 16:00:00,259.450396,0,22.49083333333333,34.719166666666666,5.262583333333333,6.96125,1022.0,346.77500000000003,0.0,0.0
2017-09-25 17:00:00,256.385715,0,20.9325,38.07083333333333,6.2651666666666666,7.611166666666667,1022.0,134.95833333333334,0.0,0.0
2017-09-25 18:00:00,243.2156275,0,19.388333333333332,44.979166666666664,6.476583333333333,7.777166666666667,1022.3333333333334,15.526916666666667,0.0,0.0
2017-09-25 19:00:00,122.435601,0,17.871666666666666,54.30166666666667,7.332,8.868,1023.0,0.40599999999999997,0.0,0.0
2017-09-25 20:00:00,96.6501975,0,16.845833333333335,60.52666666666667,5.209833333333333,6.918833333333333,1023.0,0.7983333333333333,0.0,0.0
2017-09-25 21:00:00,62.2049835,0,16.115833333333335,64.90916666666666,6.402833333333334,7.737750000000001,1023.0,0.49133333333333334,0.0,0.0
2017-09-25 22:00:00,51.651215,0,15.985833333333334,64.93333333333334,6.138083333333333,7.485166666666667,1023.1666666666666,0.46625,0.0,0.0
2017-09-25 23:00:00,47.562206,0,15.578333333333333,69.15833333333333,4.813,6.437833333333334,1023.0,0.34608333333333335,0.0,0.0
2017-09-26 00:00:00,45.836493,0,15.4525,71.35000000000001,4.350416666666667,6.017166666666667,1023.0,0.2976666666666667,0.0,0.0
2017-09-26 01:00:00,45.4897335,0,15.291666666666666,70.83333333333333,3.109833333333333,4.0882499999999995,1023.0,0.24458333333333335,0.0,0.0
2017-09-26 02:00:00,45.7230915,0,15.098333333333334,72.68333333333334,3.2723333333333335,3.9414166666666666,1022.4166666666666,0.2860833333333333,0.0,0.0
2017-09-26 03:00:00,45.721562,0,14.970833333333333,74.45,3.233833333333333,3.9624166666666665,1022.0,0.37625,0.0,0.0
2017-09-26 04:00:00,44.5305185,0,14.67,76.10000000000001,3.3895,4.067166666666667,1022.0,0.34141666666666665,0.0,0.0
2017-09-26 05:00:00,44.4195205,0,14.456666666666665,74.98333333333333,3.5344166666666665,4.36075,1021.5,0.3160833333333333,0.0,0.0
2017-09-26 06:00:00,52.4804225,0,14.2575,73.39999999999999,3.3004166666666666,4.255916666666667,1021.0,14.169416666666669,0.0,0.0
2017-09-26 07:00:00,78.0724535,0,14.8775,65.07833333333333,2.6940000000000004,3.312416666666667,1021.25,157.925,0.0,0.0
2017-09-26 08:00:00,216.514709,0,16.4525,53.93833333333333,4.075916666666667,5.031666666666667,1021.8333333333334,355.05,0.0,0.0
2017-09-26 09:00:00,221.7829625,0,18.275833333333335,45.5325,3.9797499999999997,4.90575,1022.0,537.8333333333334,0.0,0.0
2017-09-26 10:00:00,239.7821185,0,20.218333333333334,32.531666666666666,3.44875,4.591,1021.4166666666666,680.8333333333334,0.0,0.0
2017-09-26 11:00:00,257.1034875,0,22.295,27.977500000000003,2.823166666666667,3.6690833333333335,1021.0,768.5,0.0,0.0
2017-09-26 12:00:00,252.6277335,0,23.535384615384615,21.12076923076923,3.5930769230769233,4.877000000000001,1020.3076923076923,805.8461538461538,0.0,0.0
2017-09-26 13:00:00,252.8584695,0,24.6975,15.073333333333332,3.6758333333333333,4.863833333333333,1019.25,778.3333333333334,0.0,0.0
2017-09-26 14:00:00,258.372317,0,24.878333333333334,21.62,3.85925,5.010083333333333,1019.0,678.4499999999999,0.0,0.0
2017-09-26 15:00:00,264.878373,0,24.054999999999996,23.621666666666666,5.5015,7.106916666666667,1019.0,536.9083333333333,0.0,0.0
2017-09-26 16:00:00,259.4156545,0,22.72083333333333,26.016666666666666,7.425583333333333,9.30775,1019.0,355.4583333333333,0.0,0.0
2017-09-26 17:00:00,255.3205275,0,21.5725,27.790000000000003,6.198333333333333,8.0725,1019.0,152.25833333333335,0.0,0.0
2017-09-26 18:00:00,244.719563,0,19.856666666666666,26.628333333333334,5.251666666666667,6.729500000000001,1019.0,11.013583333333335,0.0,0.0
2017-09-26 19:00:00,120.273762,0,18.790833333333335,28.653333333333332,5.6055,7.506,1019.8333333333334,0.15683333333333335,0.0,0.0
2017-09-26 20:00:00,91.3581275,0,17.963333333333335,35.19583333333333,4.752083333333333,5.91225,1020.0,0.24666666666666667,0.0,0.0
2017-09-26 21:00:00,61.8156165,0,17.748333333333335,43.955000000000005,2.686916666666667,3.43825,1020.0,0.3875,0.0,0.0
2017-09-26 22:00:00,48.5059075,0,17.748333333333335,46.53333333333333,3.2740000000000005,3.9203333333333337,1020.0,0.3299166666666667,0.0,0.0
2017-09-26 23:00:00,46.150696,0,17.40153846153846,48.629230769230766,4.344615384615385,5.205692307692308,1020.0,0.2343076923076923,0.0,0.0
2017-09-27 00:00:00,45.768758,0,17.324166666666667,47.92166666666666,4.876,5.9126666666666665,1019.3333333333334,0.3114166666666667,0.0,0.0
2017-09-27 01:00:00,45.6925015,0,17.3075,48.96083333333333,2.6083333333333334,3.4172499999999997,1019.0,0.21683333333333332,0.0,0.0
2017-09-27 02:00:00,45.135982,0,17.37333333333333,49.12,3.0714166666666665,3.794583333333333,1019.3333333333334,0.32066666666666666,0.0,0.0
2017-09-27 03:00:00,44.962056,0,17.357499999999998,50.76916666666667,3.4469166666666666,4.2345,1019.0,0.27216666666666667,0.0,0.0
2017-09-27 04:00:00,44.364677,0,17.301666666666666,52.89666666666667,2.8354999999999997,3.5850000000000004,1019.0,0.33916666666666667,0.0,0.0
2017-09-27 05:00:00,44.6524415,0,16.913333333333334,55.8075,2.8792500000000003,3.396333333333333,1019.0,0.5375,0.0,0.0
2017-09-27 06:00:00,53.1669495,0,16.585,58.74333333333333,2.0056666666666665,2.432,1019.3333333333334,7.307916666666666,0.0,0.0
2017-09-27 07:00:00,76.1037685,0,17.1325,62.9625,2.4598333333333335,3.0399166666666666,1020.0,130.8525,0.0,0.0
2017-09-27 08:00:00,205.3618135,0,18.940833333333334,60.42416666666667,0.91725,1.34175,1020.0,335.89166666666665,0.0,0.0
2017-09-27 09:00:00,216.119224,0,20.4425,52.79583333333333,1.1495833333333334,1.6560833333333331,1020.0833333333334,511.97499999999997,0.0,0.0
2017-09-27 10:00:00,247.2906525,0,20.375833333333333,49.821666666666665,2.3411666666666666,3.186666666666667,1020.0833333333334,650.725,0.0,0.0
2017-09-27 11:00:00,249.3340645,0,21.405,46.75666666666667,1.8310833333333332,2.4738333333333333,1020.0,738.75,0.0,0.0
2017-09-27 12:00:00,251.3023125,0,22.570000000000004,42.23666666666667,2.40925,3.2495833333333333,1020.0,766.25,0.0,0.0
2017-09-27 13:00:00,255.5455825,0,22.875833333333333,43.435,3.092416666666667,4.046333333333333,1019.0833333333334,735.8333333333334,0.0,0.0
2017-09-27 14:00:00,265.0437775,0,21.993333333333336,48.409166666666664,4.002666666666666,5.325,1019.0,651.25,0.0,0.0
2017-09-27 15:00:00,262.7333585,0,22.596666666666664,49.88833333333333,4.100416666666667,4.94775,1019.0,512.6999999999999,0.0,0.0
2017-09-27 16:00:00,261.617479,0,23.435833333333335,46.844166666666666,2.706166666666667,3.5223333333333335,1019.0,333.3,0.0,0.0
2017-09-27 17:00:00,258.2956235,0,22.893333333333334,47.2075,4.90575,6.20525,1019.0833333333334,146.62166666666667,0.0,0.0
2017-09-27 18:00:00,240.9104525,0,21.52,54.32083333333333,5.377416666666666,6.541083333333333,1020.0,11.772916666666667,0.0,0.0
2017-09-27 19:00:00,117.869825,0,20.851666666666667,56.21416666666667,4.18775,4.94775,1020.4166666666666,0.7286666666666667,0.0,0.0
2017-09-27 20:00:00,91.3922135,0,20.2075,55.03583333333333,4.793916666666667,5.5767500000000005,1021.0,0.7933333333333333,0.0,0.0
2017-09-27 21:00:00,58.3183055,0,19.791666666666668,56.7475,5.536583333333333,6.457,1021.5,0.85575,0.0,0.0
2017-09-27 22:00:00,53.082827,0,19.243333333333332,61.28916666666667,4.441083333333333,5.597666666666666,1022.0,0.805,0.0,0.0
2017-09-27 23:00:00,47.7070715,0,18.849999999999998,62.574999999999996,1.3661666666666665,1.6770833333333333,1022.0,0.81175,0.0,0.0
2017-09-28 00:00:00,45.8747305,0,18.590833333333332,62.619166666666665,1.588,2.26425,1022.0,0.7496666666666667,0.0,0.0
2017-09-28 01:00:00,45.0584145,0,18.276666666666667,63.755,1.8065,2.5156666666666667,1022.0,0.65525,0.0,0.0
2017-09-28 02:00:00,45.33438,0,18.231666666666666,62.975,2.245,2.809416666666667,1021.4166666666666,0.45225,0.0,0.0
2017-09-28 03:00:00,45.3123115,0,17.8625,64.685,1.4185833333333333,1.7610833333333333,1021.0,0.4499166666666667,0.0,0.0
2017-09-28 04:00:00,44.728698,0,17.196666666666665,68.86749999999999,0.9120833333333334,1.1319166666666667,1021.0,0.2768333333333333,0.0,0.0
2017-09-28 05:00:00,44.913549,0,16.954166666666666,71.2,1.4589166666666664,1.65625,1021.5833333333334,0.34141666666666665,0.0,0.0
2017-09-28 06:00:00,51.9328615,0,17.16,70.28333333333333,0.3145,0.46116666666666667,1022.0,9.955083333333333,0.0,0.0
2017-09-28 07:00:00,75.762253,0,18.745,64.81083333333333,1.0115833333333333,1.2996666666666667,1022.5,130.98916666666665,0.0,0.0
